model_name,video_name,total_tp,total_fp,total_fn,precision,recall,f1_score,overall_avg_iou,avg_inference_ms,total_frames,iou_threshold
yolov8s,1.mp4,21,2,67,0.9130,0.2386,0.3784,0.9371,61.59,141,0.5
yolov8s,10.mp4,286,0,58,1.0000,0.8314,0.9079,0.7642,21.11,735,0.5
yolov8s,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,22.34,926,0.5
yolov8s,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,23.21,920,0.5
yolov8s,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,23.11,447,0.5
yolov8s,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,17.99,1107,0.5
yolov8s,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,17.38,600,0.5
yolov8s,16.mp4,0,22,270,0.0000,0.0000,0.0000,0.0000,20.72,905,0.5
yolov8s,17.mp4,88,0,69,1.0000,0.5605,0.7184,0.8458,19.58,688,0.5
yolov8s,18.mp4,0,0,3388,0.0000,0.0000,0.0000,0.0000,44.22,3258,0.5
yolov8s,19.mp4,23,0,118,1.0000,0.1631,0.2805,0.8608,27.96,141,0.5
yolov8s,2.mp4,38,0,3,1.0000,0.9268,0.9620,0.5480,25.62,141,0.5
yolov8s,20.mp4,0,0,95,0.0000,0.0000,0.0000,0.0000,41.75,141,0.5
yolov8s,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,20.19,141,0.5
yolov8s,4.mp4,0,0,103,0.0000,0.0000,0.0000,0.0000,45.69,141,0.5
yolov8s,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,38.95,141,0.5
yolov8s,6.mp4,83,0,28,1.0000,0.7477,0.8557,0.9250,21.58,141,0.5
yolov8s,7.mp4,92,0,22,1.0000,0.8070,0.8932,0.9000,19.40,141,0.5
yolov8s,8.mp4,79,0,30,1.0000,0.7248,0.8404,0.5873,20.33,141,0.5
yolov8s,9.mp4,0,0,250,0.0000,0.0000,0.0000,0.0000,24.27,250,0.5
yolov8m,1.mp4,23,1,65,0.9583,0.2614,0.4107,0.9475,56.25,141,0.5
yolov8m,10.mp4,286,0,58,1.0000,0.8314,0.9079,0.6904,23.03,735,0.5
yolov8m,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,25.32,926,0.5
yolov8m,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,23.93,920,0.5
yolov8m,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,24.34,447,0.5
yolov8m,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,20.87,1107,0.5
yolov8m,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,20.45,600,0.5
yolov8m,16.mp4,0,0,270,0.0000,0.0000,0.0000,0.0000,22.58,905,0.5
yolov8m,17.mp4,0,0,157,0.0000,0.0000,0.0000,0.0000,21.41,688,0.5
yolov8m,18.mp4,0,0,3388,0.0000,0.0000,0.0000,0.0000,41.48,3258,0.5
yolov8m,19.mp4,23,1,118,0.9583,0.1631,0.2788,0.8505,35.73,141,0.5
yolov8m,2.mp4,21,0,20,1.0000,0.5122,0.6774,0.5596,30.89,141,0.5
yolov8m,20.mp4,0,0,95,0.0000,0.0000,0.0000,0.0000,49.22,141,0.5
yolov8m,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,23.86,141,0.5
yolov8m,4.mp4,0,0,103,0.0000,0.0000,0.0000,0.0000,47.95,141,0.5
yolov8m,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,44.43,141,0.5
yolov8m,6.mp4,93,74,18,0.5569,0.8378,0.6691,0.9006,28.17,141,0.5
yolov8m,7.mp4,92,0,22,1.0000,0.8070,0.8932,0.9201,22.72,141,0.5
yolov8m,8.mp4,95,0,14,1.0000,0.8716,0.9314,0.9455,22.78,141,0.5
yolov8m,9.mp4,0,0,250,0.0000,0.0000,0.0000,0.0000,28.03,250,0.5
yolo11s,1.mp4,5,0,83,1.0000,0.0568,0.1075,0.9425,50.95,141,0.5
yolo11s,10.mp4,259,0,85,1.0000,0.7529,0.8590,0.9029,21.61,735,0.5
yolo11s,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,22.33,926,0.5
yolo11s,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,22.98,920,0.5
yolo11s,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,23.01,447,0.5
yolo11s,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,18.55,1107,0.5
yolo11s,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,18.75,600,0.5
yolo11s,16.mp4,0,377,270,0.0000,0.0000,0.0000,0.0000,22.07,905,0.5
yolo11s,17.mp4,122,24,35,0.8356,0.7771,0.8053,0.9276,20.14,688,0.5
yolo11s,18.mp4,0,60,3388,0.0000,0.0000,0.0000,0.0000,33.34,3258,0.5
yolo11s,19.mp4,8,0,133,1.0000,0.0567,0.1074,0.8857,30.47,141,0.5
yolo11s,2.mp4,41,0,0,1.0000,1.0000,1.0000,0.9207,25.08,141,0.5
yolo11s,20.mp4,0,0,95,0.0000,0.0000,0.0000,0.0000,45.64,141,0.5
yolo11s,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,20.59,141,0.5
yolo11s,4.mp4,0,0,103,0.0000,0.0000,0.0000,0.0000,44.61,141,0.5
yolo11s,5.mp4,0,51,81,0.0000,0.0000,0.0000,0.0000,40.60,141,0.5
yolo11s,6.mp4,79,16,32,0.8316,0.7117,0.7670,0.9480,22.41,141,0.5
yolo11s,7.mp4,92,0,22,1.0000,0.8070,0.8932,0.8994,19.88,141,0.5
yolo11s,8.mp4,78,0,31,1.0000,0.7156,0.8342,0.5927,22.22,141,0.5
yolo11s,9.mp4,0,0,250,0.0000,0.0000,0.0000,0.0000,24.51,250,0.5
custom,1.mp4,0,0,88,0.0000,0.0000,0.0000,0.0000,50.19,141,0.5
custom,10.mp4,56,590,288,0.0867,0.1628,0.1131,0.5562,23.05,735,0.5
custom,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,21.93,926,0.5
custom,12.mp4,0,2,286,0.0000,0.0000,0.0000,0.0000,22.66,920,0.5
custom,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,21.18,447,0.5
custom,14.mp4,0,7,78,0.0000,0.0000,0.0000,0.0000,18.02,1107,0.5
custom,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,18.82,600,0.5
custom,16.mp4,0,144,270,0.0000,0.0000,0.0000,0.0000,37.55,905,0.5
custom,17.mp4,0,37,157,0.0000,0.0000,0.0000,0.0000,19.73,688,0.5
custom,18.mp4,0,1,3388,0.0000,0.0000,0.0000,0.0000,35.74,3258,0.5
custom,19.mp4,0,66,141,0.0000,0.0000,0.0000,0.0000,27.62,141,0.5
custom,2.mp4,0,0,41,0.0000,0.0000,0.0000,0.0000,25.88,141,0.5
custom,20.mp4,0,5,95,0.0000,0.0000,0.0000,0.0000,35.33,141,0.5
custom,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,23.90,141,0.5
custom,4.mp4,0,0,103,0.0000,0.0000,0.0000,0.0000,29.88,141,0.5
custom,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,30.34,141,0.5
custom,6.mp4,21,135,90,0.1346,0.1892,0.1573,0.5746,24.75,141,0.5
custom,7.mp4,0,24,114,0.0000,0.0000,0.0000,0.0000,30.31,141,0.5
custom,8.mp4,0,0,109,0.0000,0.0000,0.0000,0.0000,27.79,141,0.5
custom,9.mp4,118,218,132,0.3512,0.4720,0.4027,0.7518,33.67,250,0.5
