model_name,video_name,total_tp,total_fp,total_fn,precision,recall,f1_score,overall_avg_iou,avg_inference_ms,total_frames,iou_threshold
yolov8s,1.mp4,72,0,16,1.0000,0.8182,0.9000,0.8422,48.06,141,0.5
yolov8s,10.mp4,278,0,66,1.0000,0.8081,0.8939,0.7630,19.58,735,0.5
yolov8s,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,22.25,926,0.5
yolov8s,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,21.99,920,0.5
yolov8s,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,22.39,447,0.5
yolov8s,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,17.64,1107,0.5
yolov8s,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,16.91,600,0.5
yolov8s,16.mp4,0,153,270,0.0000,0.0000,0.0000,0.0000,20.74,905,0.5
yolov8s,17.mp4,68,0,89,1.0000,0.4331,0.6044,0.8460,17.96,688,0.5
yolov8s,18.mp4,0,0,3388,0.0000,0.0000,0.0000,0.0000,42.10,3258,0.5
yolov8s,19.mp4,25,0,116,1.0000,0.1773,0.3012,0.8479,28.41,141,0.5
yolov8s,2.mp4,33,0,8,1.0000,0.8049,0.8919,0.5490,22.51,141,0.5
yolov8s,20.mp4,87,38,8,0.6960,0.9158,0.7909,0.7455,45.18,141,0.5
yolov8s,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,19.55,141,0.5
yolov8s,4.mp4,0,3,103,0.0000,0.0000,0.0000,0.0000,46.44,141,0.5
yolov8s,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,37.16,141,0.5
yolov8s,6.mp4,74,0,37,1.0000,0.6667,0.8000,0.9254,20.83,141,0.5
yolov8s,7.mp4,80,0,34,1.0000,0.7018,0.8247,0.9002,18.57,141,0.5
yolov8s,8.mp4,70,0,39,1.0000,0.6422,0.7821,0.5877,21.30,141,0.5
yolov8s,9.mp4,0,0,250,0.0000,0.0000,0.0000,0.0000,23.78,250,0.5
yolov8m,1.mp4,74,14,14,0.8409,0.8409,0.8409,0.8543,54.72,141,0.5
yolov8m,10.mp4,276,0,68,1.0000,0.8023,0.8903,0.6868,22.20,735,0.5
yolov8m,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,23.39,926,0.5
yolov8m,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,23.21,920,0.5
yolov8m,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,23.57,447,0.5
yolov8m,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,20.03,1107,0.5
yolov8m,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,19.38,600,0.5
yolov8m,16.mp4,0,0,270,0.0000,0.0000,0.0000,0.0000,22.32,905,0.5
yolov8m,17.mp4,0,0,157,0.0000,0.0000,0.0000,0.0000,20.19,688,0.5
yolov8m,18.mp4,0,0,3388,0.0000,0.0000,0.0000,0.0000,39.18,3258,0.5
yolov8m,19.mp4,24,3,117,0.8889,0.1702,0.2857,0.8506,33.27,141,0.5
yolov8m,2.mp4,28,0,13,1.0000,0.6829,0.8116,0.5549,28.75,141,0.5
yolov8m,20.mp4,95,47,0,0.6690,1.0000,0.8017,0.7537,50.79,141,0.5
yolov8m,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,23.31,141,0.5
yolov8m,4.mp4,1,15,102,0.0625,0.0097,0.0168,0.7633,50.23,141,0.5
yolov8m,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,44.46,141,0.5
yolov8m,6.mp4,88,75,23,0.5399,0.7928,0.6423,0.9013,28.14,141,0.5
yolov8m,7.mp4,80,0,34,1.0000,0.7018,0.8247,0.9194,22.22,141,0.5
yolov8m,8.mp4,84,0,25,1.0000,0.7706,0.8705,0.9449,23.81,141,0.5
yolov8m,9.mp4,0,0,250,0.0000,0.0000,0.0000,0.0000,27.62,250,0.5
yolo11s,1.mp4,62,11,26,0.8493,0.7045,0.7702,0.8328,43.00,141,0.5
yolo11s,10.mp4,253,0,91,1.0000,0.7355,0.8476,0.9000,20.31,735,0.5
yolo11s,11.mp4,0,0,658,0.0000,0.0000,0.0000,0.0000,23.01,926,0.5
yolo11s,12.mp4,0,0,286,0.0000,0.0000,0.0000,0.0000,21.48,920,0.5
yolo11s,13.mp4,0,0,113,0.0000,0.0000,0.0000,0.0000,23.11,447,0.5
yolo11s,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,17.14,1107,0.5
yolo11s,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,17.91,600,0.5
yolo11s,16.mp4,0,374,270,0.0000,0.0000,0.0000,0.0000,22.00,905,0.5
yolo11s,17.mp4,111,26,46,0.8102,0.7070,0.7551,0.9273,19.91,688,0.5
yolo11s,18.mp4,0,230,3388,0.0000,0.0000,0.0000,0.0000,31.69,3258,0.5
yolo11s,19.mp4,6,0,135,1.0000,0.0426,0.0816,0.8881,27.27,141,0.5
yolo11s,2.mp4,35,0,6,1.0000,0.8537,0.9211,0.9198,22.27,141,0.5
yolo11s,20.mp4,82,0,13,1.0000,0.8632,0.9266,0.6054,45.54,141,0.5
yolo11s,3.mp4,0,0,72,0.0000,0.0000,0.0000,0.0000,19.90,141,0.5
